B: 	het zijn die met met zo'n neus aan de voorkant 
B: 	en dan zonder 
B: 	wat 
B: 	ja 
B: 	en dan hebben die een soort van kegel op zijn hoofd en nog een plank 
B: 	ja 
A: 	ja 
A: 	dat zijn ook de enig met twee staafjes erin volgens mij 
A: 	ja 
A: 	juist ja ja 
A: 	en dan hebben die zo'n zo'n zo'n afvoerbak naar de zijkant toe en zo'n 
A: 	ja oké 
A: 	dat zijn voor mij nummer veertien 
B: 	waar één van een kegel zijn 
B: 	ja N 
A: 	zijn degeen met twee spatelt de lineaal en de penseel 
A: 	ja 
B: 	het zijn die met die neusachtig iets en dan hebben die twee uitsteeksel erbovenop en één aan de zijkant 
B: 	ja G 
B: 	het zijn die met die neus en die twee uitsteeksel op zijn hoofd 
A: 	ja daar zijn die 
A: 	nummer negen 
B: 	ja ik weten welk je bedoelen even 
B: 	ja vinden 
B: 	J 
A: 	ik hebben degeen met de lineaal en de penseel erin 
A: 	staan bij mij in het midden 
A: 	ja nummer vijf 
A: 	ik hebben de penseel en lineaal 
