B: 	ja deze zijn eigenlijk best wel makkelijk deze hebben een plateau maar daar staan hij echt op helemaal onderop met twee van die ding die er uitkomen 
A: 	met die kralenketting achtig 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	ik vinden dat een beetje op een zwembad lijken 
A: 	dat zijn ook ja die zien ik ook wel 
B: 	ja en dan nog dat cirkel aan de voorkant met dat ding eraan en dan nog zo'n raar uitsteeksel ja dat zijn dan J 
A: 	dit zijn die clown weer 
B: 	ja dit zijn weer diegene die op dat plateau staan die dinget die eruit komen en 
B: 	ja dat zijn hem 
A: 	die clown 
A: 	dat zijn elf 
A: 	ja maar dat maken het makkelijk 
B: 	door die door die ruit 
B: 	ja 
B: 	dan zijn dat P 
A: 	dit zijn weer die clown 
B: 	dit zijn dat plateau bij die ruit die die er zo uitsteken en dan hebben je nog dat cirkel voorop met een aanhangsel en nog een aanhangsel op dat plateau 
B: 	ja die doorboren worden ja 
A: 	dat zijn negen 
B: 	ja 
B: 	dat zijn dan L 
A: 	dit zijn weer die clown 
A: 	of zwembad 
