A: 	ah die op die groot vierkant plaat staan 
A: 	ja 
A: 	vijfteen 
B: 	nou deze die zijn wel we hebben het net over één die op een onderzetter staan 
B: 	dat zijn deze 
B: 	deze zijn er niet doorheen zakken 
B: 	ja er zitten een een een soort van schijf aan de voorkant 
B: 	een soort van kraantje link 
B: 	en aan de achterkant zullen dat misschien ook zo zijn maar die zien je dan maar half 
B: 	en een een links en rechts achter het kop ook een aantal ja diaman 
B: 	kraal 
B: 	ja 
A: 	deze zijn met die cirkel aan de aan de voorkant zo recht ervoor 
A: 	die op dat groot vierkant eronder staan 
A: 	met met drie met van die drie blok aan de zijkant 
A: 	ja 
B: 	ja 
B: 	okee dan gaan ik voor e 
A: 	ja ook 
A: 	dat zijn vier 
A: 	deze zijn met die diaman aan de zijkant en een cirkel voor 
B: 	deze zijn wel op zijn onderzetter blijven staan 
B: 	rond schijf aan de voorkant en diamantfiguurtjes aan de achterkant 
A: 	ah ja met die cirkel ervoor 
A: 	ja 
A: 	zes 
B: 	ja 
B: 	b 
A: 	dit zijn met die cirkel de aan de voorkant en die drie vormp aan de zijkant aan de beide kant 
A: 	ja 
A: 	aan de zijkant ja 
B: 	deze staat nog wel gewoon op zijn onderzetter 
B: 	en kraalvorm aan de achterkant 
B: 	p 
