B: 	lijken op een isgelijkteken 
B: 	ja dan zijn het bij mij nummer I 
A: 	deze hebben een zeggen maar driehoekje die niet helemaal zijn afgemaakt aan de bovenkant dus dus een soort van vierhoek met schuine 
A: 	wand en één en dan hebben die twee balk aan de rechterkant 
A: 	aan de linkerkant een dinge in het midden en dan linksonder ook een ja dinge maar die twee balk aan de rechterkant die zijn wel duidelijk 
A: 	ja en dan links 
A: 	ja en dan dat klein ronde voerbakje of zo aan de dat zijn nummer twee 
B: 	ik hebben degeen met het isgelijkteken aan de rechterkant dan een soort hendel 
B: 	yes 
A: 	de kopje met het nietafgemaakt driehoekje de deurklink en de twee staaf aan de rechterkant 
B: 	ah ja 
B: 	even zien 
B: 	dat zijn bij mij M 
A: 	yes en het nietafgemaakt driehoekje 
A: 	nummer negen 
B: 	ik hebben degeen met het isgelijkteken en dan de hendel 
B: 	ja 
A: 	ja de deurklink nietafgemaakken driehoekje en de twee balk 
B: 	yes en die staan bij mij bij nummer F 
A: 	ja 
A: 	nummer zes 
B: 	yes ik hebben het isgelijkteken 
B: 	yes 
