B: 	oké 
B: 	deze dit ding staan zeggen maar veel op een driehoek 
B: 	en dan zijn het dat ding waarop die staan zijn een beetje draaien 
B: 	zeggen maar aan de onderkant hebben je als basis zo'n driehoek 
B: 	ja 
B: 	boven blok 
B: 	ja 
A: 	raken ik zelf even in de war 
A: 	ja 
A: 	ik zien ik omschrijven hem als trofee in mijn hoofd 
A: 	want je leggen net een beker of een trofee die je vastpken ja 
A: 	vier 
A: 	dat zijn het zijn de trofee of de bokaal 
B: 	ja klopt dat denken ik ook al ja 
B: 	A 
A: 	de trofee 
A: 	ja 
A: 	tien 
B: 	het zijn weer die beker zeggen maar die op zo'n driehoek staan 
A: 	het de trofee 
B: 	ja jij moeten drukken 
B: 	ja 
B: 	L 
B: 	weer die trofee op de driehoek 
A: 	de trofee 
A: 	ja 
A: 	vier 
B: 	F 
A: 	bokaal 
A: 	of de trofee 
