A: 	ja 
A: 	ik weten welk je bedoelen 
A: 	ja 
A: 	oké dat zijn nummer zestien 
B: 	deze lijken eigenlijk een soort bank wat eraan zitten 
B: 	of een soort duikplank 
B: 	want het zijn een een vlak iets met twee van die poo eraan 
B: 	en daarbovenop zitten nog een soort springplankachtig iets 
A: 	ja dit zijn dat ding ja ik denken zo'n soort tafel met dat schuin bak erop en dan nog één zo'n 
B: 	ja 
B: 	ja 
B: 	ja kloppen 
A: 	ja 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	ja 
A: 	nummer veertien 
B: 	ja met die dat bank zeggen maar met dat 
B: 	dan zijn het P 
A: 	dit zijn met dat tafel met dat schuin bak erop 
A: 	en dat armpje nog links dat klein armpje 
A: 	ja nummer tien 
B: 	dit zijn die weer met dat bank 
A: 	ja dat tafel met dat schuin bak erop en dat hand nog links 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn met dat bank 
B: 	ja dat zijn D 
