A: 	bovenop zitten zo'n eivorm en helemaal aan de voorkant zitten zo'n recht staaf recht naar beneden 
A: 	verticaal 
A: 	aan de zijkant hebben je nog twee scheve beugelt 
B: 	ja 
B: 	soort houten lat 
B: 	zijn die verticaal 
B: 	okee ja 
B: 	ja 
B: 	okee dan denken ik dat ik hem ook wel weten 
B: 	ik gaan voor g 
A: 	er liggen een bal bovenop 
A: 	ja 
A: 	wachten even hoor 
A: 	gewoon die zo recht naar beneden gaan 
A: 	en dan twee hendel aan de zijkant 
A: 	okee dat zijn elf 
B: 	ah bij bij dit kop lijken het alsof er een ei bovenin liggen 
B: 	en er zitten aan de voorkant zitten een een een lat 
B: 	verticaal 
B: 	en je hebben nog een uitsteeksel aan de linkerkant 
B: 	die krom lopen 
B: 	en aan de achterkant hebben je ook nog een uitsteeksel 
B: 	ja 
A: 	deze zijn waarmee de bal op het ding liggen 
A: 	en met zo'n rechthoekig rechthoek aan de voorkant 
A: 	ja 
A: 	ja elf 
B: 	je hebben ja ja toch ? ja 
B: 	het gaan echt om het zoeken inderdaad ja ja 
B: 	ja 
B: 	uitsteeksel aan de zijkant 
B: 	dat zijn c voor mij 
A: 	dit zijn met zo'n ei aan de bovenkant en zo'n rechthoek aan de voorkant 
A: 	ja 
A: 	ja 
B: 	hier liggen het eit bovenin het kop 
B: 	met een verticaal lat aan de voorkant en twee uitsteeksel naar beide kant 
A: 	die rechthoek 
A: 	ja veertien 
B: 	dat zijn d 
B: 	ei bovenop met een lat verticaal aan de voorkant 
