B: 	ok nou dit zijn dus wel de kruiwag weten je dan welk ik bedoelen zeggen maar 
B: 	zeggen maar er zitten een bak op en er zitten zeggen maar zo'n ja rand omheen en aan die rand zitten twee van die balk 
A: 	dat hebben ik ook geloven ik zo benoemen 
A: 	ja 
A: 	ja precies alsof dat de het beker hem zeggen maar vasthouden die tafel 
A: 	ja ja 
A: 	dan zijn het zestien 
B: 	o die kruiwag 
B: 	ok ja ok dat zijn P 
A: 	dit zijn diegene met het tafel en de ja soort van de komen erop of de het schaal erop met een soort van veel piramideachtig schaal 
B: 	ok ja dit zijn de kruiwag 
B: 	ja en dat bak erop 
A: 	yes 
B: 	dat zijn N 
B: 	de kruiwag 
B: 	ja dat zijn D 
A: 	dit zijn weer met die tafel met dat schaal erop 
A: 	soort van 
A: 	ja 
A: 	even kijken 
A: 	dat zijn tien 
A: 	dit zijn de tafel met het komme erop 
A: 	of schaal erop 
