B: 	ja 
B: 	ja 
A: 	okeeen je hebben het kop 
B: 	ja f 
A: 	en linksboven hebben je nou ja een uitsteeksel lijken ook een beetje zo'n druppelvormachtig 
A: 	aan de ja rechterkant beetje in het midden daar zitten een bal lijken een beetje op een neus 
A: 	met een staaf erdoorheen 
A: 	en aan de rechterkant aan het uiteinde van de staaf zitten nog een cirkel plaatjeachtig ding 
B: 	deze hebben zo'n bal voorop en er zitten een staaf in het lijken een beetje op de neus van een helikopter 
B: 	en aan de een kant van de staaf zijn een cirkel 
B: 	en bovenop de emmer zijn een soort van lepeltje handvaa 
B: 	ja o 
B: 	deze zijn de helikopter 
A: 	okee 
A: 	ja druppel erboven links 
A: 	ja zestien 
B: 	ja d 
B: 	dit zijn die helikopter 
A: 	dit zijn die met de neus maar wel met de staaf erdoorheen 
A: 	met het schotel aan de uitein 
A: 	ja 
A: 	yes waar staan die nu weer 
A: 	ja dat zijn veertien 
A: 	dit zijn die met de neus met een staaf erdoorheen 
A: 	ja 
A: 	dat zijn acht 
