B: 	het zijn een bakje en hij bevinden zich in een vierkant in een plat vierkant een beetje alsof die een glitch hebben 
B: 	ja dat zijn geloven ik de enig maar hij hebben ook nog een soort van slurf 
B: 	en een hoek hier en twee van die antenne 
B: 	ja 
A: 	een soort haak ja en dan hebben je nog zo'n glijbaan 
A: 	ja precies dat zijn zes 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	letter C 
A: 	deze hebben twee klein knop bovenop en zo'n plaat die er dwars doorheen gaan 
A: 	ja 
B: 	hij hebben twee horent hij zitten hij glitcht in dat vierkan 
B: 	ja hij hebben een slurfje 
A: 	ja 
A: 	ik moeten hem even zoeken yes dat zijn dertien voor mij 
B: 	ja 
B: 	moeten ze nog even zoeken 
B: 	ja 
B: 	letter J 
A: 	dit zijn die met de plaat die hem doorboort en dan glijbaan twee punt 
A: 	ja dat zijn negen voor mij 
B: 	de glitch met het slurfje 
A: 	dit zijn die met het plateau dat doorboort en dan de glijbaan 
B: 	yes 
B: 	letter N 
