B: 	ja 
B: 	ja ik zien hem 
B: 	en dan linksonder zitten er nog een bijna een cirkel 
A: 	okeeen deze hebben een groot pyramide bovenop de emmer 
B: 	B 
A: 	twaalf 
B: 	soort piramidefiguur op de kop 
B: 	en een heel groot lomp figuur aan de rechterkant 
B: 	klein cirkel linksonder 
B: 	en klein dinge ja 
B: 	aan de linkerkant 
A: 	de pyramide bovenop 
A: 	achten 
B: 	ja 
B: 	klein dinge link 
B: 	ja 
B: 	I 
A: 	de pyramide bovenop 
B: 	een piramide bovenop 
B: 	cirkel links onder 
B: 	groot figuur rechts 
A: 	vijfteen 
B: 	bovenop zitten de driehoek 
B: 	aan de linkerkant een klein dinge 
B: 	of 
B: 	en een groot dinge rechts 
B: 	ah oké de de trapezium piramide boven piramide bovenop 
B: 	ja 
B: 	oké 
B: 	I 
B: 	piramide op de kop 
B: 	neus neus aan de rechterkant 
B: 	zo'n blok 
B: 	heel klein dinge aan de linkerkant 
B: 	en linksonder zo'n cirkel 
