B: 	oké 
B: 	ja 
B: 	ja 
B: 	oké dan zijn het I 
A: 	oké deze hebben een soort van hoedje op maar wat wel makkelijk zijn mischien aan de rechterkant hebben die twee rechthoek die eruit steken 
A: 	en dan zitten er linksvoor een ook nog een uitsteeksel aan 
A: 	en linksonder ook nog 
A: 	ja er zitten zeggen maar een één 
A: 	ja een piramide bovenop waar alleen het punt van af zijn 
A: 	ja want je hebben één dat zijn ook nog waar een een heel piramide op staat 
A: 	maar die deze hebben ook een piramide erop maar zonder puntje dan dus eigenlijk ja geen piramide maar dan weten je misschien een beetje wat het zijn 
A: 	en twee rechthoek die uitsteken 
A: 	ja 
A: 	precies 
A: 	ja 
B: 	oké dit zijn diegene met zo'n iste aan de zijkant eruit en een driehoek erop die aan de bovenkant plat zijn 
B: 	ja ja 
A: 	ja ja dan weten ik hem al 
B: 	dat zijn M 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	en dit zijn eigenlijk die piramide die niet af zijn maken die erbovenop staan 
A: 	met die twee rechter vierkant die uitsteken 
A: 	ja 
B: 	ik hebben degeen met een isteken eraan 
B: 	en zo die afgeplatte driehoek aan de bovenkant 
B: 	ja ja 
B: 	even zoeken waar zijn die ? ja 
B: 	dat zijn F 
A: 	ja dat zijn nummer negen 
A: 	dit zijn die piramide die erbovenop staan die niet afmaken zijn 
B: 	ik hebben die met het isteken en de afgeplatte driehoek 
A: 	ja 
A: 	nummer zes 
