B: 	een soort van en link hebben die een soort van omgekeerd pion 
B: 	op dat 
B: 	ja 
B: 	dat zijn bij mij L 
A: 	oké ik hebben nu die een met een soort van rechts een soort van uitschuifschijf 
A: 	en links zijn een raar vorm 
A: 	waar nog weer een ander soort van pilaar uit steken 
A: 	hij hebben best wel veel uitsteeksel bovenop hebben die niks 
A: 	oké 
B: 	deze hebben weer dat rond plaa soort dienblad en die 
B: 	ja dan weten je welk ik bedoelen 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	oké dat zijn bij mij C 
A: 	dit zijn die een met dat uitlopen ding links met dat vierkan bovenop 
A: 	en rechts die plat schijf die zo uitsteekt en link nog weer ja die raar vorm die een beetje indeukt zeggen maar 
B: 	dat met dat dienblad 
B: 	even zoeken 
B: 	A 
A: 	ja 
A: 	ja ik weten welk je bedoelen ja daar ik zien hem ja dat zijn nummer zeggen maar je bedoelen die die uitlopen en dan dat vierkan bovenop ja 
A: 	nummer één zijn dat 
B: 	met het dienblad 
A: 	ik hebben nu die een met rechts die schijf die uitsteekt en dan links dat ingedeukt ding waar die tuut nog uit steken 
A: 	ja 
A: 	dat zijn nummer dertien 
