B: 	deze hebben twee van die kasteelt aan de linkerkant erin en een vierkant aan de voorkant 
B: 	en nog een soort van paddenstoel aan de bovenkant 
A: 	ja ja ja ja ja 
A: 	twee zijn dat 
B: 	oké 
B: 	wachten even even kijken 
B: 	twee ding ja die paddenstoel ja ja ja 
B: 	oké die torent aan de zijkant 
B: 	oké dat zijn G 
B: 	oké dit zijn diegene met die twee torent aan de zijkant en die paddenstoel erop 
A: 	dit zijn met zo'n vierkant er zeggen maar er voor op geplakt en dan weer twee van die kubus die groot worden en zo'n paddenstoel aan de bovenkant eruit 
B: 	oké 
B: 	ja 
B: 	ja met nog één ding ervoor toch 
B: 	ja oké ja dat zijn D 
A: 	negen zijn dat 
B: 	ik hebben diegene met die paddenstoel en die twee torent erin en één plat ding aan de voorkant 
A: 	dit zijn met dat vierkant erop plakken 
A: 	en twee groot wordende de kubus aan de zijkant en een paddenstoel eruit 
B: 	ja even zoeken 
B: 	ja dat zijn B 
A: 	ja ik zien hem 
A: 	dat zijn één 
A: 	dit zijn met dat vierkant vlak erop plakken en die twee kubus die er steeds groot worden 
