A: 	dus je hebben dat bakkie en dan aan de rechterkant steken er twee rechthoekjes uit 
A: 	voor jou dus hier 
A: 	en aan de linkerkant zitten een soort klein dunn dinge 
A: 	en aan de onderkant zitten nog een soort zeggen maar dat vierkant buisstaafje naar achter toe 
B: 	rechterkant ja 
A: 	en bovenop zitten zo'n trapeziumvormp 
B: 	ja ja en een staart ook nog of zo ja ja 
B: 	I zijn dat bij mij 
B: 	I negen 
B: 	dit zijn de USBstick 
B: 	ja zo die neus 
B: 	ja of die met dat poo op de of omgekeeren 
B: 	ja 
B: 	L 
A: 	ja ik ik zoeken hem heel even 
A: 	ja ik denken ja 
A: 	ja 
A: 	zo'n soort soort koelkastdeur ja ja 
A: 	er zitten nog een klein stulp linksonder ook 
A: 	ja ja dat hebben ik ook 
A: 	oké 
A: 	nummer twee 
B: 	ja M 
B: 	M vijf 
A: 	dit zijn wat jij vinden lijken op dat onderzeeërdeur 
A: 	met de klinkje en die twee dinget aan de zijkant 
A: 	oké 
A: 	geen idee 
B: 	USBstick 
B: 	ja twee 
B: 	B 
B: 	ja 
B: 	F 
B: 	F elf 
A: 	ja 
A: 	nummer negen 
A: 	je onderzeeërdeuren 
B: 	de twee USBstick 
B: 	H 
A: 	nummer zes 
