A: 	ja er zitten een bolle bovenop 
A: 	en aan de voorkant zien je een vierkant staaf die rechtop staan 
A: 	ja 
A: 	o jij mogen klikken ja 
B: 	ja 
B: 	en zijn het dan dat er nog wel allemaal ander uitsteeksel 
B: 	zeggen maar één 
B: 	ja 
B: 	ja 
B: 	ja ja dat zijn D 
A: 	ja vijftien 
B: 	even kijken 
B: 	ja volgens mij hebben we deze ook al hebben dat zijn weer die basketbal 
A: 	deze hebben een bolle bovenop en dan die armpie en aan de voorkant de pilaar ja 
A: 	zes 
B: 	ja 
B: 	dat zijn L 
B: 	ja dit zijn die basketbal 
A: 	die met die armp aan de zijkant lang staaf aan de voorkant en bolle er op 
A: 	drie 
B: 	de basketbal oké 
B: 	J 
B: 	de basketbal 
