A: 	even kijken deze hebben een driehoek erbovenop 
A: 	een heel groot driehoek 
A: 	en dan nog een klein dinge aan de linkerkant een soort van verrekijker met één ding 
A: 	en nog een vierkant aan de rechterkant 
A: 	en een rond linksonder 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	soort verrekijker 
B: 	ja 
B: 	ja 
B: 	meerdere vorm 
B: 	ik hebben hem denken ik al 
B: 	ja 
B: 	ik gaan voor b 
A: 	en dan rechts ook die vierkant of zijn dat iets ander 
A: 	soort van onafgemaken pyramide die 
A: 	ja 
A: 	en dan bovenop echt zo'n scherp driehoek 
A: 	yes 
A: 	kijken dat zijn nummer acht 
A: 	deze hebben de driehoek bovenop en de sterrenkijker links en nog een rond onder en die pyramideding rechts voorop 
B: 	deze hebben een een één pyramidevorm bovenop 
B: 	en een soort verrekijker aan de linkerkant 
B: 	een rond schijf onderaan 
B: 	en een een object waar we allebei nog niet uit zijn komen aan de ander kant 
B: 	ja 
A: 	ja dat zijn 
A: 	yes dat zijn een 
A: 	dit zijn met die puntig driehoek bovenop en nog een klein sterrenkijker link 
B: 	ja 
B: 	uhu 
B: 	ja dat zijn voor mij j 
A: 	ja ja dat zijn nummer vijf 
B: 	pyramide op de bovenkant 
B: 	klein rond schijf aan de onderkant 
B: 	ondefinieerbaaren object aan rechterkant 
B: 	ja dat zijn p 
B: 	ondefinieerbaaren object en pyramidevorm bovenop 
