A: 	oké dus dat bakkie en dan bovenop zitten zeggen maar twee vierkant vlak naast elkaar 
A: 	en daaruit steken dan weer die die die kubusblok zeggen maar alsof het opgestapelen taartdos zijn 
A: 	dat zitten zeggen maar vrij klein boven op het komme 
A: 	aan de achterkant 
A: 	aan de voorkant steken een ietwat rond staafje uit of zeshoekig 
A: 	en dan hebben je nog aan de onderkant en aan de zijkant zeggen maar weer een soort vierkant staafje wat zo krom lopen 
A: 	oké dus er zijn twee vierkant staaf één aan de onderkant die lopen zeggen maar zo naar voor 
A: 	en één aan de zijkant die lopen opzij 
A: 	er zitten dan nog een heel klein zeshoekig staafje recht daarvoor wat naar voren uitsteken 
A: 	en bovenop zitten twee klein vierkant die zitten er zeggen maar zo in steken als een soort kaart 
A: 	en dan uit die twee vierkant steken dan nog weer van die klein opgestapelen doos 
A: 	ja 
A: 	ja 
A: 	ja dat zullen ook goed ja 
A: 	klinken logisch 
B: 	ja ja met twee ja ja ja 
B: 	dat zijn M bij mij 
B: 	en bij jou 
B: 	ik moeten het zeggen 
B: 	drie M 
B: 	dit zijn met die ruit bovenop en die waar die die doorbooren ruit door vierkant 
B: 	ja 
B: 	I 
A: 	ja 
A: 	ja 
A: 	nummer negen 
B: 	sorry wachten even ruit en 
B: 	ja ja die die gek met die armp zo 
B: 	wachten nee dan hebben ik even niet de goed armpjes uit de ruit 
B: 	die ja ja H 
B: 	bij jou 
B: 	H zes 
A: 	dit zijn die raar waar bovenin zo'n boek uit steken wat dan van beide kant die kubus ingestoken krijgen 
A: 	nog een handva vooraan en twee rechthoekig hand aan de onderaan en aan de zijkant 
B: 	dit zijn die met die ruit op het hoofd met waardoor en die 
B: 	ja ja precies 
B: 	F 
A: 	en nog die een aan de zijkant 
A: 	ja 
A: 	nummer elf 
B: 	ja 
B: 	D 
B: 	d achten 
B: 	dit zijn die met die ruit boven op zijn hoofd waar dat ding doorheen gaan 
B: 	met die 
B: 	ja 
B: 	G 
A: 	dit zijn die een met dat boek bovenop wat dan gespiest worden met die doos en dan die raar hendel aan de onderkant 
A: 	aan de zijkant 
A: 	yes 
A: 	nummer veertien 
