A: 	oké ja 
A: 	hij ja hij hangen echt 
A: 	oké 
A: 	dat zijn nummer vijfteen 
B: 	deze hebben een soort van plateau boven het midden dit zijn een beetje raar en die hebben dan twee poo 
B: 	links en rechts 
B: 	en in het midden zitten , van het plateau zegmaar , zitten ja een soort piramide op zijn kop 
B: 	ja ja 
A: 	dit zijn de bak die op de hoe heten dat op een ja ergens op leunlen 
A: 	de ondersteunen balk met de houtversnipperaar erbij 
B: 	ja 
B: 	piramide op zijn kop ja 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	oké vijfteen 
B: 	hoe noemen we deze ook alweer ? deze hebben zo'n vierkant boven het midden en dan twee stok aan 
B: 	links en rechts en een piramide op zijn kop er bovenop 
B: 	en een klein haak linksbof 
B: 	niet veel hoe we die noemen 
B: 	zo ja 
B: 	ja 
B: 	ja dat zijn hem , ja 
B: 	ja 
A: 	de bak die leunt op één of die echt ondersteunen worden door een met de houtversnipperaar bovenop en 
A: 	nummer een 
B: 	ja 
B: 	ja 
B: 	piramide op zijn kop 
B: 	ja 
B: 	I 
B: 	dit zijn dat dienblad die je om kunnen gooien 
B: 	ho 
B: 	en en een piramide op zijn kop 
B: 	ja 
B: 	ja ja ja 
A: 	de bak die ondersteunen worden door de de de houtversnipperaar 
B: 	ja 
B: 	ik zoeken hem 
B: 	ja 
B: 	L 
