A: 	oké nu hebben ik er één 
A: 	dit zijn een bak met een soort propeller aan de voorkant en hij wijken veel uit naar rechts en de rechterkant zijn een een stok eigenlijk van de uit de propeller die een rond eraan vast , bij de rechterkant zitten hij 
A: 	hij zitten op de voorkant zijn een een bobbel de voorkant van de bak zijn een bobbel die doorboord zijn met een staaf 
A: 	en dan wijken hij uit naar rechts 
A: 	het zijn eigenlijk het zijn een , je mogen ook met de hand communiceren , het zijn een de bak met een bol aan de voorkant 
A: 	en daar zitten een staaf doorheen 
A: 	aan de rechterkant zitten nog een rond 
A: 	oké 
B: 	waar zitten die uitein op 
B: 	oké ik denken dat ik misschien weten 
B: 	hebben hij bovenop ook iets 
B: 	oké een beetje aan de linkerkant van het midden 
B: 	ja en daarvoor hebben hij zegmaar een bal 
B: 	ja en dan links een stuk staaf 
B: 	rechts een stuk staaf 
B: 	en een rond aan de rechterkant 
B: 	ja oké 
B: 	ja dat zijn P 
A: 	oké 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	deze hebben een balle rechtsvoor 
B: 	en links en rechts zitten daar een staafje aan 
B: 	en aan de rechterkant een cirkel 
B: 	en bovenop hebben hij een ja soort stok appel iets 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	nu zijn het wel degeen met de zuignap 
A: 	nummer tien 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die zuignap 
A: 	het ei met de pilaar met de balk er doorheen , met de zuignap 
B: 	ja ik zoeken hem 
B: 	ja dat zijn C 
A: 	ja zeven 
B: 	dit zijn de zuignap 
