A: 	ja deze vinden ik een beetje raar 
A: 	je hebben twee zo'n soort ja armp met zo'n twee rond erop aan de zijkant 
A: 	plat rond 
A: 	en dan hebben je daarachter nog zo'n vierkan met een ook weer een balkje eraan 
A: 	en één armpje zijn kort zeggen maar dan die ander 
A: 	en het zijn een soort ja even kijken ja gewoon weer die basis die je overal hebben en dan 
A: 	ja 
A: 	en dan dat vierkan daarbovenop 
A: 	die plaat 
B: 	ja 
B: 	ja 
B: 	dan weten ik al welk het zijn dan zijn het K 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn dat ding met met die twee uitsteeksel aan de zijkant waarvan één lang zijn en de ander wat kort 
A: 	met dat vierkan nog zo erachter 
A: 	met die twee rond zo aan het uitein 
A: 	dus eerst een balkje en dan zo'n soort rond erop soort deurknop en dan daarachter dat vierkan 
A: 	ja ja waar die doorheen zitten ja 
B: 	dit zijn weer die dat kop met die twee arm waarvan de een lang zijn dan de ander 
B: 	met dat vierkan met een poo eraan 
B: 	het zijn zeggen maar een een po en dan zitten er ja ik denken dat het een soort van knuppel zijn die erachter zat of zo 
B: 	maar aan de rechterkant zijn die dan iets lang dan aan de linkerkant 
B: 	en daarachter zijn een soort scherm die op een voetstuk staan 
B: 	je hebben hem straks ook omschrijven 
A: 	ja 
A: 	nummer drie 
B: 	ja 
B: 	dat zijn F 
A: 	dit zijn die ja dat ding dat door dat ding heen gaan met die twee rond aan de zijkant en dat vierkan achter 
A: 	die balk die er zo doorheen gaan 
A: 	ja 
A: 	nummer vijf 
B: 	dit zijn weer met die knuppel aan de achterkant met dat een ding lang dan de ander 
B: 	en met dat dinge 
B: 	ja die twee ongelijk arm ja 
B: 	ja 
B: 	arm 
B: 	ja 
B: 	ja dat zijn L 
B: 	dit zijn weer met die een arm lang dan de ander 
