A: 	ja dat zijn 
A: 	dat zijn veertien 
B: 	okeeen dit ding zijn door een plat vierkant zakken 
B: 	en hebben twee dezelfde haar boven zeggen maar 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	elf 
A: 	het vierkant vlak zitten er dwars doorheen 
A: 	ja twee sprieet bovenop 
A: 	ja drie 
A: 	twee klein voelsprietjes een vlak erdoorheen 
B: 	ja dat zijn n 
A: 	zeven 
B: 	deze zijn weer door de tafel zakken 
B: 	hij hebben links een krom arm zo en twee stok omhoog 
B: 	twee haar zeggen maar 
B: 	ja 
B: 	ja 
A: 	een vierkant vlak er recht doorheen en twee spriet bovenop 
B: 	ja l 
B: 	deze zijn door de tafel zakken met twee dezelfde haar 
B: 	ja 
B: 	ja dat zijn à 
