A: 	mooi 
A: 	ik hebben de koffiebeker met bovenop het groot deel van een bol zichtbaar 
A: 	aan de voorkant zien je een vierkant staaf rechtop staan die ook aan de onderkant komen 
A: 	in ieder geval aan de linkerkant zien je een staaf die ook met een boch 
B: 	ja ja ja 
A: 	en rechts komen die wat niet helemaal op het plaat veel eruit 
B: 	ja ja ja dat zijn de de balkenknuffelaar hebben ik hem in mijn hoofd 
A: 	maar dat zijn er maar één denken ik 
B: 	dat zijn bij mij D 
B: 	oké 
B: 	dan hebben we weer de balkenknuffelaar 
B: 	met het bollet achterop 
A: 	ja 
A: 	we gaan alles zes keer doen dus 
A: 	ja 
A: 	en er zitten een bocht dan in 
A: 	ja 
A: 	dat zijn nummer vijftien 
B: 	de balkenknuffelaar 
B: 	dat zijn L 
B: 	dit zijn de balkenknuffelaar 
B: 	waar zijn je 
B: 	G 
B: 	de boom balkenknuffelaar 
A: 	het koffiekopje met ei bovenop 
A: 	en rechtop 
A: 	ja 
A: 	en de staaf aan de voorkant 
A: 	ei aan de bovenkant 
A: 	ja 
A: 	nummer zes 
A: 	ei bovenop 
A: 	dinget aan de zijkant staaf ervoor 
A: 	ja 
A: 	check 
A: 	nummer drie 
