A: 	ja 
A: 	dat zijn nummer zestien 
A: 	hier hebben je weer de hoofdvorm met een plateau een beetje boven het midden van de hoofdvorm met twee poo eronder en een yoghurtbakje erop 
B: 	het lijken een beetje alsof er iets boven het midden een plateau doorheen zijn maar dan een tafel met twee poo 
B: 	alleen aan de rechterkant zijn die poo dan 
B: 	en aan de linkerkant boven nog een klein soort van antennetje 
B: 	en aan de rechterkant een soort van op het tafel maar ook tegen het beker aan nog iets een een blok 
B: 	ja met die houder volgens mij wat je bedoelen 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja nummer dertien 
A: 	deze hoofdvorm hebben bovenaan boven het midden een plateau in zich en een yoghurtbak er op en je zien linksachter nog een heel klein uitsteekselt 
B: 	ja 
B: 	ja 
B: 	ja dat zijn c 
A: 	ja 
A: 	even zoeken hoor 
A: 	ik kunnen hem niet vinden 
A: 	ja 
A: 	ja ja nummer drie 
B: 	ja de houder 
B: 	tafel met twee poo 
B: 	en ja 
B: 	ja 
A: 	deze hoofdvorm hebben bovenin een plateau die er omheen dus zitten 
A: 	en op dat plateau staan een yoghurtbak met twee tafelpoot 
B: 	ja 
B: 	ja dat zijn f 
B: 	met het houder met twee loshangen poo 
B: 	zo'n plateau door het midden 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	wachten waar zijn hij 
B: 	ja ja 
B: 	ik hebben hem vinden 
B: 	m 
