B: 	ja ik weten hem 
B: 	g 
A: 	oké deze zijn zegmaar zo'n zo'n kop die iets hoog staan 
A: 	en hij staan zegmaar zo'n balk 
A: 	ja 
A: 	met één één poot zegmaar 
A: 	nee neegen een recht balk 
A: 	een recht balk met 
A: 	en de en rechterkant 
A: 	ja aan de voorkant 
A: 	en dan boven zitten dan dat ei zo 
A: 	ja dat bollet zitten er bovenop 
B: 	okeeen ik hebben een een balle dat bovenop liggen met niks niks erin en dan een een langwerpig rechthoekig staaf aan de voorkant 
A: 	ja dat weer die hebben die hebben we ook al hebben 
A: 	ja oké sure 
A: 	die zijn twee 
B: 	ja 
B: 	d 
B: 	ik hebben bovenop een bal met niks erop en dan linkerkant zo'n dinge naar je toe wijst weten je wel die hoek naar je toe wijzen 
A: 	ja dit zijn weer zo'n ei die er bovenop liggen 
A: 	en de balk ernaast 
A: 	zo'n paal ernaast of 
B: 	ja 
B: 	à 
B: 	de de bolle bovenop met niks eraan en dan dat dinge linkerkant dat naar je toe wijst weten je die draaien 
A: 	ja 
A: 	dat zijn twaalf 
A: 	deze zijn met het ei er bovenop 
A: 	zijn maar één volgens mij 
A: 	ja 
A: 	ja zestien 
