B: 	oké nu hebben ik een soort ja een soort stoomboot hebben die hij hebben twee twee dinget op zijn hoofd 
B: 	en een groot neus die rond zijn ja een cilinder eigenlijk 
A: 	oké ja 
B: 	en hij hebben een hij zijn doorboren met een plaat 
B: 	ja en nog een haak ja ja 
A: 	ja ja ja oké 
A: 	ja 
B: 	ja stoomboot 
A: 	nummer zes 
B: 	hij H 
B: 	ja ja ja ja ja ja 
B: 	C 
B: 	C zestien 
A: 	dit zijn die een zeggen maar die een beetje door de grond geglitcht zijn 
A: 	en dan zitten er zeggen maar dat slurfje aan de voorkant 
A: 	met stok aan de zijkant 
A: 	en die punt ja 
B: 	de stoomboot met de rond neus 
B: 	die langwerpig rond neus plaat door het midden 
B: 	wat zeggen je 
B: 	ja 
B: 	ja 
B: 	I 
A: 	ja 
A: 	ik zijn half blind met dat slurfje 
A: 	ja 
A: 	nummer dertien 
B: 	ja even kijken 
B: 	J en bij jou 
B: 	J vijftien 
A: 	dit zijn die een zeggen maar die door die grond heen geglitcht zijn met dat slurfje aan de voorkant 
A: 	en die twee punt erop 
A: 	en dat armp 
B: 	deze noemen we de stoomboot 
B: 	met L'etje 
B: 	M 
B: 	sorry 
A: 	ja 
A: 	nummer negen 
B: 	ja even kijken ja 
B: 	N achten 
A: 	even kijken dit zijn die een die door de plank zijn geglitcht met het slurfje 
A: 	en de twee stokkie 
