A: 	oké 
A: 	ja 
A: 	met nog twee uitsteeksel aan de achterkant 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	nou ja het zijn een kop en hij staan op een vierkan 
B: 	er zitten allemaal ruit aan de zijkant 
B: 	hebben je hem 
B: 	ja 
B: 	ja 
B: 	oké 
A: 	dit plaat zijn die ja wat zeggen je nou met de vlech volgens mij 
A: 	met het bollet aan de voorkant die op een plateau staan met aan de achterkant nog twee uitsteekselt 
B: 	nee 
B: 	ja het het kop dat zijn J 
B: 	ja 
B: 	ja 
B: 	J 
A: 	vlech 
A: 	ja 
A: 	elf 
B: 	nou ja we hebben weer het het kop op het vierkan 
B: 	met de diaman eraan 
A: 	dit zijn het die met de vlech die op het plateau staan 
A: 	het rond aan de voorkant 
B: 	P 
A: 	ja nummer negen 
B: 	het zijn het kop met de diaman aan de zijkant 
A: 	en dit zijn het meisje met de vlecht 
B: 	diaman dat zijn L 
