A: 	ja ja ja 
A: 	inderdaad ja zestien 
A: 	dit zijn dat schap waar jij het over hebben zo'n zo'n cupje met een schap en daar staan dan nog iets op 
B: 	ok deze lijken alsof er een tafel doorheen zijn maken alleen die tafel hebben maar twee poet 
A: 	ja 
B: 	en erbovenop staan een bakje en daar acheraan zitten nog een boog 
A: 	ja 
A: 	even kijken waar staan die 
A: 	veertien 
B: 	die met dat bak en die spriet 
B: 	dat zijn voor mij P 
A: 	het schap met het cupje erop 
A: 	ja tien 
B: 	dit zijn de tafel met twee po met een bak er op en dat sprie achterin 
A: 	het schap 
B: 	dat zijn voor mij N 
B: 	ok 
B: 	dit zijn de tafel met twee poot en een bak 
B: 	ja dat zijn voor mij d 
