A: 	ja achten 
B: 	deze hebben bovenop een soort staaf vierkant liggen recht erop 
B: 	in het midden 
B: 	rechts hebben hij een het zitten allemaal heel dicht erop het zijn heel compact 
B: 	en rechts hebben hij een soort arm die uitsteekken en dan rechtsboven het gaan er gaan ook nog een ding omhoog uit zijn arm 
B: 	staafje een dun staafje 
B: 	en link zitten 
B: 	ja 
B: 	en linksonder zitten zo'n afgekapt dakje zo 
B: 	ja 
B: 	ja ja ja er kunnen een arm uitkomenzeg maar 
B: 	ja 
A: 	ja deze zijn die vage 
A: 	dat balkje bovenop en die ja soort van neusvorm Linksonder 
A: 	ja vijfteen 
A: 	okee 
A: 	de balk link rechts bovenop en de neus linksonder 
B: 	ja en dat blok op zijn hoofd 
B: 	ja 
B: 	ja dat zijn m 
A: 	ja 
A: 	een 
A: 	balk link rechts bovenop en neus linksonder 
A: 	de balk bovenop van link rechts 
B: 	zijn die compacte met dat staaf op zijn hoofd en iets in zijn hand 
B: 	ja 
B: 	ja 
B: 	ja p 
B: 	dit zijn de compact met de staaf op zijn hoofd en de mouw en dat ding wat hij vast hebben 
B: 	ja even zoeken waar die zijn 
B: 	n 
