A: 	ja dit zijn er één die aan de linkerkant komen er een soort van 
A: 	ja armpje uit het zijn een beetje een vreemd vorm en daar worden dan weer een soort van spijker komen daar weer uit 
A: 	en er zijn een bijzettafelt erbij inderdaad 
A: 	de bijzettafel die erdoorheen zitten of 
A: 	ja wachten 
A: 	de rond tafel 
A: 	ja ja ja ja ik zien hem ja dat zijn zeven 
B: 	staaf ja 
B: 	ja 
B: 	ja dat zijn de enig denken ik met zo'n rond dinget 
B: 	rechts 
B: 	dat zijn bij mij L 
A: 	dit zijn diegene die een soort van uit ja 
A: 	ding aan de linkerkant hebben en daar worden dan weer gaan dan weer een spijker in en dat bijzettafelt dan aan de aan de rechterkant 
B: 	dit zijn die met dat rond horizontaal plateaut aan de rechterkant 
B: 	en dan links zo'n staaf met zo'n deuk erin en dan 
B: 	een uiteenlopend staafje naar een vierkant 
A: 	ja 
A: 	één 
A: 	dit zijn degeen met de arm met de spijker en het bijzettafelt aan de ander kant 
B: 	ja 
B: 	ja 
B: 	dat zijn C 
A: 	ja 
A: 	dertien 
B: 	dit zijn die met het rond horizontaal plateaut aan de rechterkant van het kop 
B: 	en dan dat staafding links 
B: 	met dinge ervan af 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn A 
B: 	ja 
B: 	A 
B: 	zijn die met het horizontaal rond plateautje rechts 
B: 	en die staaf met inkeping en het puntig ding eraan 
