B: 	een soort van en link hebben die een soort van omgekeerd pion 
B: 	op dat 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	deze hebben weer dat rond plaa soort dienblad en die 
B: 	ja dan weten je welk ik bedoelen 
B: 	oké dat zijn bij mij C 
A: 	ik noemen deze eigenlijk de serveerster met een trompet het zijn een soort van poppe die hebben een hand en daar zitten een soort van ding steken eruit 
A: 	en dan aan in de ander hand zitten een soort van dienblad 
A: 	ja kunnen ook 
A: 	ja 
A: 	oeh wachten even moeten ik even weer zoeken waar die staan 
A: 	ah ja ik hebben hem 
A: 	dat zijn numero zeven 
B: 	dat met dat dienblad 
B: 	even zoeken 
B: 	A 
A: 	dit gaan over de serveer serveerder met de trompet 
A: 	nee mijn serveerder met de trompet 
A: 	of met de spijker 
B: 	met het dienblad 
A: 	dat zijn numero één 
A: 	de de serveerder met de trompet 
A: 	serveerster even kijken ja numero dertien 
