A: 	ik hebben er één met een soort van het lijken alsof er twee paddenstoel aan de zijkant laat maar zeggen zitten 
A: 	ja kloppen precies die 
A: 	ja 
B: 	en een 
B: 	schuin dakje aan de achterkant 
B: 	ja 
B: 	K 
A: 	ja ik moeten even zoeken 
A: 	ja 
A: 	ja zijn bij mij nummer negen 
B: 	ja deze zijn met die twee handvat waarvan er één kort zijn dan de ander 
B: 	en 
B: 	ja schuin dakje 
A: 	ik hebben diegene met die zoutvaat weer 
B: 	oké 
B: 	lang duren 
B: 	ja F 
A: 	ja die staan bij mij ik kunnen ze niet vinden 
A: 	ja nummer drie 
B: 	oké 
B: 	dit zijn die een met twee handvat van ander lengte 
B: 	ja dat vierkantig 
A: 	ik hebben de twee zoutvaat 
B: 	ja 
B: 	L 
A: 	nummer vijf 
B: 	het twee handvat van de ander lengte 
B: 	ja 
