A: 	die dan weten ik het al meteen en daar staan ook een 
A: 	jajaja inderdaad nou zestien 
B: 	oké ja dit zijn die we net denken dat dat je die hebben dat zijn met dat ja wat ik vinden zijn een picknicktafel 
B: 	dus ook met dat vlakje maar dan aan de bovenste helft van het kop zeggen maar 
B: 	doorheen met die twee schuin poo en dan dat trechterdinge erbovenop 
B: 	ik vinden een beetje de poot van een picknicktafel omdat ze zo schuin staan 
B: 	weten je welk ik bedoelen 
B: 	ja 
B: 	ja ja 
B: 	ja 
A: 	die tafel met twee poet 
A: 	ja 
B: 	oké 
B: 	dat zijn bij mij P van Picknick 
A: 	als je goed kijken in mijn bril kunnen je misschien 
A: 	ja dat weten ik al 
A: 	o 
A: 	o veertien 
B: 	oké dit zijn met die picknicktafel 
A: 	ja met die tafel en met twee po en die Blok er op dat blok 
B: 	oké dat zijn bij mij N van Nico 
A: 	ja ja ja tien 
B: 	nu met die picknicktafel maar nu zijn ze allemaal weer veranderen 
A: 	tafel met twee poet 
B: 	ja 
B: 	hij moeten kunnen niet weg zijn 
B: 	ja bij mij staan die rechtsboven zeggen maar dat zijn D 
