A: 	hier zitten een een cactusding zeggen maar Middenin 
A: 	Middenin in het kop 
A: 	en aan de er steken er ook nog één uit Linksvoor 
A: 	en rechts zitten zo'n toren van vierkant 
A: 	en link 
A: 	ja klpen ja ja 
B: 	ja 
B: 	een beetje als legoblokjes 
B: 	ja 
B: 	ja 
B: 	dan denken ik dat ik hem wel weten ja 
B: 	ik gaan voor I 
A: 	ja 
A: 	link 
A: 	ja 
A: 	dat zijn nummer vijfteen 
B: 	ja 
B: 	hee hebben wij deze niet al doen ? zitten ik te denken 
B: 	misschien moeten we nog een keer 
B: 	ja moeten we of allebei apart uitleggen 
B: 	bij dit kop zitten er aan de rechterkant een soort van legoblokjes oor 
B: 	waarbij die ook groot worden 
B: 	je hebben Linksvoor hebben je een soort zeppelinneus waar je het toen ook over hebben 
B: 	Bovenin zitten ook een zeppelinlepel 
B: 	en je hebben nog een ander uitsteeksel 
B: 	weten je dan welk ik bedoelen 
B: 	ja 
B: 	ja 
B: 	gek uitsteeksel 
B: 	ja 
A: 	deze hebben twee van die cactusding één bovenop en één aan linksvoor en een sterrenkijker aan de rechtervoorkant en nog een ding erachter een cilinder 
A: 	yes ja dat zijn zeven 
A: 	dit zijn met die twee cactusding erin en aan de linkerkant voor daarboven en een sterrenkijker 
A: 	yes 
B: 	ja 
B: 	ja 
B: 	nou dat zijn voor mij b 
A: 	even zoeken 
A: 	ja ja dat zijn veertien 
B: 	denken weer aan zeppelinvormen 
B: 	zeppelinneus zeppelinlepel 
B: 	aan de rechterkant legoblok 
B: 	en nog een ander uitsteeksel 
B: 	ja 
B: 	dat zijn g 
B: 	zeppelinvorm vooraan en bovenop en legoblok aan de rechterkant 
