A: 	oké 
A: 	oeh ja ook een soort Pinokkio Pinokko Pinokkio omdat het hebben zo'n pilaar zo steken zo naar rechts een beetje uit 
A: 	en hij hebben één of ander heel gek hoed 
A: 	die ja het zijn een soort vierkantje die echt in hem zitten alsof het één ja 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	en waarom zijn dat een kat 
B: 	ok nou met die ruit snapen ik het en dan hebben je dus onderaan dus nog een uitsteeksel en zo'n 
B: 	en zo'n zelfde zitten eigenlijk rechts 
B: 	ok ja dat zijn dan M van Martin 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en hij hebben zo'n suf gek hoed op 
A: 	ja 
A: 	negen 
A: 	dit zijn die Karate Kid 
A: 	met het Pinokkioneus en de twee ding 
A: 	ja je weten het oké 
B: 	ok dit zijn 
B: 	met die ruit bovenin waar je dan ook nog twee ding aan vast hebben zitten 
B: 	zijn dat die kat 
B: 	nou dat zullen best kunnen maar ik zien het nog steeds niet en dan onderaan zitten nog zo'n slurfje en aan de zijkant ook 
B: 	wat zijn dan de kat die 
B: 	ok nou prima 
A: 	ja 
A: 	elf met de cilinder ja 
A: 	elf 
A: 	de Karate Kid 
B: 	ok 
B: 	ja dat zijn voor mij H 
A: 	staan die bij jou link 
A: 	ook 
A: 	veertien 
B: 	nou dit zijn de kat 
B: 	met de ruit blijbaar 
B: 	kat kat kat 
B: 	ja dat zijn voor mij d 
B: 	dit zijn de kat 
