B: 	ja dan hebben ik hem 
B: 	dat zijn bij mij E 
A: 	dan hebben ik een koffiebeker met drie uitsteeksel aan de zijkant en een wat bredere 
A: 	lepel die erin afhangen of bijna rechtop staan 
A: 	en van de uithangsel zijn er één die een vierkant blok die steeds groot worden 
A: 	een even groot dikte koffielepel veel schuin aan de voorkant 
A: 	en veel aan de achterkant nog een soort olifantenslurf 
A: 	dat zullen je er ook nog van kunnen maken ja 
B: 	dit zijn die met heel veel uitsteeksel dus hij hebben bovenop een een rondachtig cilinder 
B: 	ook naar voren links 
B: 	en dan hebben die nog aan de zijkant zo'n blok die steeds groot worden 
B: 	en aan de achterkant nog zo'n pijp 
A: 	slurfachtig 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	een een pijp aan de achterkant 
B: 	ja ja ja heel die uitsteeksel 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn met die vier uitsteeksel dus die uitlaat linksachter 
B: 	kegel bovenop 
B: 	kegel linksvoor en een blokkig ding rechtsvoor 
B: 	ja dat zijn B 
A: 	dan hebben we de slurf de koffiekopje met de slurf wat veel aan de achterkant aan de zijkant eruit steken 
A: 	één robotarm een beetje rechts aan de voorkant 
A: 	en twee wat dikkere lepel aan de bovenkant en zijkant 
B: 	de vier lang uitsteeksel dus de twee kegel de pijp aan de achterkant en de blok aan de voorkant 
A: 	en een slurf 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	lijken ook gewoon robotarmen 
A: 	de slurf 
A: 	met robotarm 
A: 	en twee lepel zijkant boven 
A: 	de slurf aan de achterkant 
A: 	ja 
A: 	ja 
A: 	nummer vier 
