B: 	dit noemen ik tafel 
B: 	met blok 
B: 	oké 
B: 	O 
A: 	ja 
A: 	nummer zestien 
B: 	tafelt tafel waar zijn tafel 
B: 	P veertien 
A: 	dit zijn die een met dat kampvuurbank waar dan dat cakevormp op staat 
B: 	tafel 
B: 	P 
B: 	ja 
A: 	yes 
A: 	nummer veertien 
B: 	oké N 
B: 	N achten 
A: 	dit zijn die een met het kampvuurtafel met de cakevorm 
B: 	een nieuw scherm 
B: 	tafel 
B: 	I 
A: 	yes kijken zijn moeilijk nummer tien 
B: 	kijken D 
B: 	dus d zestien 
A: 	even kijken dit zijn met dat picknickbank met de cakevorm erop 
