B: 	en hebben die nog twee van die 
B: 	oké dan zijn het d 
A: 	oké 
A: 	ik hebben nu een figuur met een bol op de bovenkant en aan de zijkant zijn twee stang die een beetje zo staan zeggen maar 
A: 	en aan de voorkant zitten een langwerpig rechthoek zeggen maar plakken 
A: 	oké 
B: 	deze hebben de bol bovenop 
B: 	ja 
A: 	ja 
A: 	die stang die gaan een beetje zo zeggen maar 
A: 	hebben we deze niet net ook al 
A: 	oké 
A: 	oké 
A: 	ja dat zijn nummer vijftien 
B: 	zijn 
B: 	zijn L 
B: 	deze zijn weer met die bol bovenop en die staaf ervoor 
A: 	dit zijn die een met die bol bovenop en die twee buis ja dun buis die zo gaan aan de linker en de rechterkant en vooraan die 
A: 	staaf die 
B: 	dat zijn bij mij J 
A: 	even kijken groot rechthoek aan de 
A: 	ja 
A: 	of bedoelen je die met die deze stanget zeggen maar 
A: 	die zo gaan naar voren en die rechthoek die zitten er zo 
A: 	ja 
A: 	oké dat zijn nummer zes 
B: 	met die bal bovenop en die dat blok ervoor 
A: 	ik hebben nu die een met die bol bovenop en links en rechts zo die uitstekend stanget en vooraan die rechthoek ertegenaan plakken 
A: 	ja 
A: 	dat zijn nummer drie 
