B: 	oké 
B: 	zulk balk 
A: 	okee 
A: 	ja gaan prima aan de rechterkant van het kommet het kommet zijn in het midden en Bovenin zitten een steel 
B: 	oké 
B: 	dus links en bovenop zitten zo'n 
B: 	ja een toren 
B: 	oké dan zijn het I 
A: 	en linksonder zitten een steel die hebben dezelfde vorm en aan de rechterkant zitten eigenlijk een soort uitstulpsel dat vier kubus hebben die steeds klein worden 
B: 	I 
A: 	okee 
A: 	ja ja vier ik zijn hem kwijt maarja vier 
B: 	dit zijn volgens mij wat jij noemen een propeller met een toren 
B: 	ja 
B: 	volgens mij een propeller met links en boven hem zien je de propeller 
A: 	deze hebben dezelfde staaf van boven en link en die weer met die vier kubus aan de rechterkant 
A: 	ja dat zijn acht 
B: 	ja 
B: 	ja 
B: 	propeller D 
A: 	dit zijn degeen met die staaf aan de bovenkant die hetzelfde zijn als aan de zijkant en die vier kubus aan de rechterkant 
B: 	denken ik 
A: 	juist 
A: 	ja nummer één zijn dat bij mij 
B: 	propellerkop 
B: 	boven en link de propeller , rechts de toren 
B: 	en nog een uitsteeksel 
B: 	tussen de twee propellert in 
B: 	ja dat zijn een kop met ja oké jij zeggen het zo 
B: 	zo er bovenop 
B: 	en zo aan de zijkant 
B: 	en rechts vierkant 
B: 	ja maar ze hebben wel een ander vorm 
B: 	dat zijn B 
B: 	de propeller links en boven 
B: 	en rechts de toren 
