B: 	zeggen maar zijn het tenminste als je die een beetje op zijn zijkant draaien zullen het dan een beetje op een dier kunnen lijken 
B: 	zijn het die 
B: 	ok dan zijn dan zijn het M 
A: 	ja deze vinden ik echt een beetje chaos dit zijn zo'n ding met een raar ja soort ik vinden het echt dit vinden ik het naarst om te omschrijven 
A: 	ja hij hebben een soort soort ja hoedje zeggen maar met dan twee driehoeken of nou wel twee ruit zeggen maar en dan nog de twee uitsteeksel uit die ruit 
A: 	en hij hebben een soort neus als een pinokkio 
A: 	en en twee soort van voe waarbij de een voe aan de onderkant zitten en één voe aan de zijkant 
A: 	met een soort van ja hoed als een soort twee ruit aan elkaar plakken met twee verrekijker eruit 
A: 	ja oké 
B: 	ok dit zijn zeggen maar dat dier dat als je hem zo draaien dan zijn het een dier 
B: 	ja ja maar maar met zeggen maar maar twee poo 
B: 	ja zeggen maar aan de onderkant lopen zeggen maar zo'n ding dat hebben je dat dinge en dan 
A: 	ja die ruit met een soort van verrekijker daar weer uit 
A: 	en één poo aan de onderkant en één poo aan de zijkant zeggen maar 
A: 	ja 
A: 	ja dat zijn negen 
B: 	zijn dat met die schroef onderin ? of niet 
B: 	o 
B: 	ja 
B: 	die als je die draaien zeggen maar wat het die ? ok 
B: 	dan zijn het H 
B: 	ja dit zijn zeggen maar dat dier dat je zo kunnen draaien 
A: 	dat hebben ik ook 
A: 	dit zijn die gek met soort van een poo aan de onderkant en een poo aan de zijkant en die ruit met de verrekijker bovenop 
B: 	ja dat zijn D 
B: 	ja dit zijn dat dier dat je kunnen draaien 
A: 	ja dat zijn elf 
A: 	dit zijn weer die die ruit met de verrekijker en de poo onder pootje aan de of aan ja aan de zijkant zeggen maar 
A: 	ja dat zijn veertien 
