B: 	even kijken 
B: 	volgens mij weten ik wel welk het zijn 
B: 	nee toch niet 
B: 	twee luciferstokjes naar de zijkant aan welk kant 
B: 	oké één links één rechts 
B: 	die ja 
B: 	ja en aan de achterkant zitten ook nog zo'n plat plat vlak 
B: 	met nog een poo eronder of zo 
B: 	oké ja 
B: 	dat zijn bij mij K 
A: 	deze hebben ik volgens mij omschrijven als de gieter 
A: 	de koffiebeker met twee soort pa met rond uiteinde aan de zijkant 
A: 	aan de linkerkant wat kort aan de rechterkant een stuk lang 
A: 	een beetje een rond half bol erop 
A: 	en dan iets schuin aan de achterkant nog een vierkant dat schuin omhoogsteekken 
A: 	met daaruit ook nog een stuk 
A: 	ja 
A: 	de gieter 
A: 	ja 
A: 	als je het een gieter kunnen noemen vast niet 
A: 	in ieder geval de koffiebeker 
A: 	aan de linkerkant steken een soort iets dik cilinder die iets klein worden met een half bol op het einde 
A: 	aan de rechterkant hetzelfde alleen een stuk lang 
A: 	ook een bol op het einde 
A: 	ja 
A: 	ja 
A: 	met nog iets erachteraan 
A: 	hangen 
B: 	dit zijn wat jij die luciferstoek stok noemen 
B: 	ik ik noemen het een knuppel 
B: 	die erachter achter het kop liggen 
B: 	met dat plank ook erbij 
B: 	de luciferstokjes 
B: 	ja de knuppel 
B: 	ja dat zijn bij mij F 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	dit zijn de knuppel of de lucifer 
B: 	die erachter liggen 
A: 	de gieter 
B: 	ja dat zijn L 
B: 	de lucifer of knuppel 
A: 	de gieter de gieter waar zijn je ? waar zijn je 
A: 	ja hebbes dat zijn nummer drie 
A: 	de gieter 
A: 	waar zijn je gieter 
A: 	ja nummer vijf 
