B: 	oké ik hebben één met een rond voorop 
B: 	en dan twee dinget die erboven uitsteken en één die er link uit steken 
B: 	dus een beetje zoals die neuspiercing die je net hebben alleen dan zonder de piercing zelf zonder die 
B: 	ja 
B: 	één die rechtop eruit steken en één die iets schuin naar links met een apart vorm laten maar zeggen een soort ruit 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja en zo'n 
A: 	ja ok dat zijn veertien bij mij 
B: 	ja ja ja met die rond ding voorop 
B: 	ja 
B: 	ja 
B: 	N 
A: 	ja dit zijn weer met die neus met één rechthoek er bovenop en één zon ' raar met zo'n bolle en dan zo'n 
A: 	pijl met dat soort driehoekje of zo'n v' aan de linkerkant die er uit steken 
B: 	de indiaan 
B: 	met de met de neus 
B: 	oeh ja met de neus voorop 
B: 	G 
B: 	dit zijn de indiaan 
B: 	met dat rond voorop 
A: 	ah ja ja 
A: 	dat zijn nummer negen 
A: 	dit zijn die met die neus en de rechthoek en een pen bovenop en zo'n driehoek aan de zijkant 
A: 	ja dus bovenop 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	dit zijn met die neus en een rechthoek bovenop met een penne bovenop en een driehoek aan de zijkant 
