B: 	ik hebben het rood vierkant dus dan moeten ik gaan uitleggen 
B: 	het zijn een één één een een kop en aan de onderkant zitten een ovale standaard zeggen maar het kop staan daarop 
A: 	ah en zitten er nog een staaf aan de zijkant uit 
B: 	en 
A: 	ja 
A: 	zes zijn het dan bij mij 
A: 	ja 
A: 	oké zes 
B: 	nee er zitten geen driehoek op 
A: 	en dan 
B: 	rechtsboven zitten er een soort van op zijn kop kegel wat een beetje op een mini-cactus blobje lijken zeggen maar 
B: 	en link zitten een een gewoon een staaf en daarachter zitten een plat rond cirkel 
B: 	ja 
B: 	nou ja je je hebben toch van die cactusprop 
B: 	maar dus 
B: 	ja het belangrijk zijn dat het een soort van houder hebben waar het op staat zeggen maar 
B: 	de 
B: 	ja links en stok en rechts die cactus en daarachter het rond 
A: 	een lepeltje bovenin link 
A: 	aan de achterkant van het beker een half cirkel 
A: 	en aan de linkerkant nog een staaf eruit 
A: 	ja 
A: 	en hij staan nog op een dinge 
A: 	ja 
B: 	ja dat zijn nummer of nummer Sorry letter letter n 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	tien 
B: 	hee ze versprongen weer 
B: 	ja dit zijn weer de aan de onderkant een houder een ovaal houder en een minicactus aan de rechterkant en een schijf aan de achterkant 
B: 	ja 
A: 	een deze staat op zo'n klein plateaut aan de achterkant zitten een half rond 
A: 	rechts Bovenin zitten een lepeltje 
A: 	en links eruit komen nog een vierkant 
B: 	ja dat zijn d 
B: 	dit zijn de de pilvormig aan de onderkant en rechts een minicactus 
A: 	ja 
A: 	twaalf 
B: 	en de het lepel 
B: 	ja dat zijn p 
A: 	klein lepel aan de rechterkant 
A: 	half cirkel aan de 
