A: 	en de zitten er aan de bovenkant ook nog een rechthoekig balk 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer acht 
B: 	nou ja dit zijn een een kop er liggen een een balk op 
B: 	en er zitten twee lampenkapvormig uitsteeksel aan 
B: 	nog nog een driehoekig tobleronereep die zich er die er ook uit steekt en daar zitten nog een minicilinder op 
B: 	maar hij zijn het veel herkenbaar aan de aan de balk erop 
B: 	ja ja ja ja 
B: 	N 
A: 	dit zijn dat plaat met aan de linkerkant zo'n uitsteeksel dat een beetje een soort hellinkje zijn 
A: 	en aan de bovenkant die balk erbovenop 
A: 	en aan de ander kant steken daar nog één ja een soort dinge uit 
A: 	ja 
B: 	die ja 
B: 	ja E 
A: 	ja nummer één 
B: 	het zijn weer de een met het blok op op het ding 
B: 	de twee lampenkapp en de cilinder op de toblerone 
A: 	dit zijn die die lastig te omschrijven zijn met een hellinkje aan de rechterkant 
A: 	en een balk aan de bovenkant 
B: 	ja 
B: 	zijn E 
A: 	ja zestien 
B: 	mooi 
B: 	het zijn die een weer met het blok op de het blok erop en de lampenkapp aan de zijkant 
B: 	met balkje erop 
B: 	ja 
A: 	dit zijn die lastig te omschrijven zijn met hellinkje en de Xboxbalk bovenaan 
B: 	ja 
B: 	balk erbovenop 
B: 	zijn O 
