A: 	er zitten een lang staaf doorheen een beetje aan de onderkant 
A: 	die van dik naar dun gaan en aan het einde twee bollet hebben 
A: 	en er zitten aan de achterkant nog een soort van tafel 
A: 	of niet een tafel veel gewoon een plank met een dinge eraan 
A: 	er zijn een dik staaf aan de achterkant onderkant achterkant 
A: 	en twee aan die uitein van die dik staaf zitten twee bollet 
A: 	ja 
A: 	ja 
B: 	twee staf in 
B: 	die ja ja ik zien 
B: 	links en rechts zijn die staf 
B: 	ja okee nee ik zijn er bovenop aan het zoeken 
B: 	ja 
B: 	ja 
B: 	ja een staaf en dan een soort van zo'n bolle er zeggen maar aan de ander kant 
B: 	okee ja 
B: 	dat zijn mij nummer of letter p 
A: 	ja 
A: 	ja 
A: 	twaalf 
B: 	dan moeten ik omschrijven 
B: 	deze hebben twee staf links en rechts met een bolle op het uitein 
B: 	en een soort van vierkant houderding aan de achterkant 
B: 	dus links en rechts twee rond staf en de uiteinde zijn bollet 
B: 	ja 
B: 	ja 
A: 	er zitten een dik balk aan de onderkant doorheen met twee rond aan de zijkant en aan de achterkant dat tafel 
A: 	of zo'n plank achter 
A: 	nee geen lepeltje 
A: 	de aan de achterkant zitten een dat tafel met zo'n uh , of zo'n plank zeggen maar 
A: 	wat zo naar beneden doorgaan en aan de onderkant zitten twee van zo'n dik staf met die rond eraan 
A: 	ja 
A: 	ja 
B: 	ja ja 
B: 	dat zijn f 
A: 	met tafel 
A: 	ja 
A: 	negen 
B: 	dit zijn de de theekop met link en rechts een staaf met bollet aan de uiteinde 
B: 	ja 
B: 	ja dat zijn n 
A: 	zo'n dik staaf aan de achterkant onderkant met twee boll aan de zijkant 
A: 	en dat tafel aan de achterkant met zo'n nog een dinge eraan zeggen maar 
A: 	aan dat tafel aan de achterkant 
A: 	ja 
B: 	dit zijn met de de de staaf door het kop heen met bollet aan de uiteinde en de rechthoek erachter 
A: 	en die twee balk 
A: 	ja 
A: 	tien 
