B: 	dit zijn gewoon een kop 
B: 	en hij hebben een soort van hanenkam bovenop 
B: 	en zo'n hij lijken een potlood vast te houden 
B: 	een vierkant blok staan bovenop 
B: 	ja aan de zijkant zitten nog een soort van neus 
B: 	en voor hebben die 
B: 	ja nog zo'n 
B: 	ja dat zijn hem 
A: 	ja ik denken dat ik hem zien dus die balk en dan inderdaad aan de aan de zijkant aan de linkerkant hebben je een soort van vorm die naarmate die naar beneden gaan 
A: 	veel uitsteken zeggen maar 
A: 	ja oké dat zijn acht voor mij 
B: 	ja 
B: 	dat zijn E 
B: 	ik hebben dan met dat potlood 
B: 	ja 
B: 	dat zijn E 
A: 	oké 
A: 	deze hebben de balk aan de bovenkant erop 
A: 	en aan de voorkant inderdaad dat dat uitstekend driehoek met het cilinder erop 
A: 	oké 
B: 	met de potlood 
A: 	ja oké dat zijn één voor mij 
B: 	ja dat zijn O 
A: 	oké met die balk erop 
A: 	en en het uitsteeksel met de cilinder en met het cilinder erop 
A: 	even kijken 
A: 	waar staan die nou 
A: 	ja 
A: 	met die cilinder op de toblerone 
A: 	dat zijn zestien 
A: 	ja oké de balk erbovenop 
A: 	en de toblerone met de cilinder erop 
