B: 	ja 
B: 	ja ja ja ja 
B: 	ja en hij hebben een soort hoedje op 
B: 	zijn nummer of letter A 
A: 	nou deze gaan denken ook wel 
A: 	het zijn geen volledig driehoek dat je bovenop zien 
A: 	topje zijn ervanaf gehakt 
A: 	aan de rechterkant twee houten plank die uitsteken 
A: 	steken even ver uit 
A: 	en link zitten ook een ja één 
A: 	ja ? okee 
B: 	een bak met een hoed en aan de rechterkant twee gelijk uitsteeksel 
B: 	en aan de linkerkant twee ook twee uitsteeksel maar die zijn totaal anders 
B: 	aan de rechterkant zitten die twee gelijk 
B: 	A 
A: 	iets gek 
A: 	ja 
A: 	helemaal goed 
A: 	dat zijn nummer veertien 
A: 	dit zijn het kop met het afgezaagd dakje van de pyramide 
A: 	en twee houten plank aan de rechterkant 
A: 	links een gek staafje en ja 
B: 	bak met twee gelijk uitstulping aan de rechterkant 
B: 	en bovenop een 
B: 	soort hoedje ja 
B: 	P 
B: 	bak met twee gelijk uitstulping aan de rechterkant en een hoed op 
A: 	ja 
A: 	nummer tien 
A: 	deze zijn met de twee houten plank aan de rechterkant het afgezaagd dakje van de pyramide 
A: 	ja nou die 
A: 	ja 
A: 	ah 
A: 	nummer vijf 
