B: 	oké ik hebben het rood vierkant 
B: 	even kijken ik zien een cirkel een half cirkel die verbergen zijn achter soort van koffiekopje 
B: 	en het voelen alsof de lepel rechts zitten 
A: 	ovaal verhoging 
B: 	ja aan de linkerkant 
B: 	beetje balk 
A: 	en je zien zo'n half cirkel achter achter de emmer 
A: 	okee 
A: 	drie 
A: 	deze zijn die met die half cirkel achter de emmer 
A: 	en links ervan zijn een cilinder die eruit komen 
B: 	ja redelijk blokkerig staaf 
B: 	ja 
B: 	ja staan op een heel klein verhogink 
B: 	ja 
B: 	H 
A: 	ja 
A: 	negen 
B: 	het cirkeltje zitten verstoppen achter de kop 
B: 	rechts zitten een lepeltje 
B: 	links een balkje 
B: 	met een soort verhoginkje eronder 
A: 	deze hebben die dat ovaal onderop de emmer 
A: 	en die half cirkel achter de emmer 
A: 	ja 
A: 	zes 
A: 	deze zijn met die half cirkel erachter 
B: 	ja 
B: 	ik hebben hem 
B: 	K 
B: 	cirkel erachter 
B: 	aan de linkerkant een heel recht staaf , recht rechtsboven een lepeltje erin 
B: 	ja 
B: 	P 
