B: 	oké 
B: 	ik hebben het rood vierkant 
B: 	het zijn een beker en hij staan op een soort van voetstuk 
B: 	en hij hebben hier een arm 
B: 	en in de beker zitten een soort van dinge hier en hij hebben een rood cirkel of een blauw cirkel erachter 
B: 	ja 
B: 	voor mij zo maar dan denken ik voor jou zo ja zeggen maar zoiets 
B: 	het zijn geen rood cirkel maar ja 
B: 	ja hij zitten aan de achterkant ja 
B: 	volgens mij moeten jij hardop zeggen wat 
A: 	dat zijn mooi want ik niet 
A: 	even kijken een rond aan de achterkant 
A: 	en dan aan de linkerkant een soort handvat 
A: 	ja precies oké 
A: 	dertien 
B: 	en hij staan op een op één op één op een blok 
B: 	oké letter O 
A: 	deze hebben een rond aan de achterkant 
A: 	een soort lepeltje erin en dan links een handvat 
A: 	en onder ja een soort plateau om waar die op kunnen bijstaan 
B: 	deze staan weer op dat voe 
B: 	dus dat dat dat voe 
B: 	en hij 
B: 	nee hij hebben een 
B: 	sorry nee dat soort van Ronde voe en hij hebben één pluk hij hebben een cirkel daarachter hij hebben een arm naar link 
A: 	ja check 
A: 	dit zijn acht voor mij 
B: 	ja 
B: 	letter C 
A: 	dit zijn die met de cirkel aan de achterkant en dat ja plateautje aan de onderkant waar die op kunnen bijstaan 
A: 	ja 
A: 	ik moeten hem even zoeken yes dat zijn zeven voor mij 
B: 	hij hij staan weer op zo'n blok op dat ronde op dat voetstukje en hij hebben zo'n cirkel achter hem 
B: 	en hij hebben een één een balkje links van hem komen en hij hebben een lepeltje of zo daarin staan 
A: 	dit zijn die met het rond aan de achterkant en het plateau om op te instaan aan de onderkant 
B: 	ja ik zien dat je het een panne vinden 
B: 	ja 
B: 	letter C 
B: 	Hoi 
