A: 	jij zijn 
A: 	ja 
A: 	ik zien het ja 
A: 	oké 
A: 	dwars doorheen toch 
B: 	oké hier zitten een plaat door het kop 
A: 	ja 
A: 	ja 
B: 	dan steken er link nog een balkje uit met een hoek 
A: 	shit 
A: 	oké 
B: 	en recht voor komen nog een balkje eruit en bovenin komen twee klein balkjes eruit 
B: 	ja dat zijn C 
B: 	deze hebben weer zo'n plaat erdoorheen met jij zeggen mooi een glijbaan 
B: 	en twee van die dinget erop 
B: 	en links nog het uitsteeksel 
A: 	oké dus er komen bij deze een slurfje uit en er gaan een rechthoek nee vierkant er dwars doorheen 
A: 	en er zitten twee cirkelvormig pun op 
A: 	ja ik weten niet hoe noemen je dat ? cilinder zitten twee cilinder op 
A: 	twee cilinder op en er voortkomen één cilinder uit met een slurf van een olifant 
A: 	ja gaan ook een plaat doorheen 
A: 	oké welk zijn dat ? daar hebben ik maar één van 
A: 	waar zijn die ? zijn het zijn het met de slurf 
A: 	oké 
A: 	dat zijn dertien 
B: 	ja en die twee schoorsteen 
B: 	ja 
B: 	dat zijn J 
A: 	zijn wel goed 
A: 	en zo'n slurf er zitten een slurfje aan de voorkant 
A: 	en daar gaan een plaat doorheen 
B: 	dit zijn weer met dat plateau erdoor en de glijbaan en de twee uitstekend balk en links ook nog 
B: 	ja dat zijn N 
A: 	en 
A: 	de slurf waar de plaat doorheen gaan waar zijn de slurf ? Slurf Slurf 
A: 	ah ik zien hem 
A: 	dat zijn negen 
A: 	slurf aan de voorkant gaan een plaat doorheen 
