A: 	ja weten ik 
A: 	tien 
A: 	ik hebben die een die met dat raar met dat raar voetstuk op die driehoek staan 
A: 	die zeggen maar ergens op staat 
A: 	dus je hebben zo'n driehoek op de grond dan hebben je soort buis en daar staan het rond ding pas op 
B: 	dit zijn de enig die soort van been en voet hebben 
B: 	ja 
B: 	ja 
A: 	op dat driehoek 
A: 	op die driehoek 
A: 	zeven 
A: 	ik hebben die een op dat voetstuk die dat twistding en dan op dat driehoekje 
B: 	een voet ja 
B: 	ja en een staart link 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn A 
A: 	ja 
A: 	achten 
A: 	de twistspiraal met de driehoek aan de onderkant 
B: 	dit zijn die vogel kip 
B: 	ja ik zoeken hem 
B: 	ja dat zijn K 
B: 	dit zijn de vogel 
B: 	J 
