B: 	ja die 
B: 	spijker of zo ja dat zijn dan J 
A: 	ik hebben er nu één met een soort punt erboven 
A: 	zo'n soort driehoekig punt en aan de voorkant ja niet helemaal een blok maar lijken wel een beetje op een blok aan de rechtervoorkant 
A: 	of ja 
A: 	zo'n vaag uitsteekselt 
A: 	ja 
B: 	ja dit zijn weer diegene met die spijker in de zijkant en die die die die 
B: 	piramide of die kegel of weten ik veel wat bovenop met die punt en dan dat raar blok aan de zijkant en dat 
B: 	ja en dat cirkel nog dat schijf aan de onderkant ja dat zijn hem 
A: 	dat dat soort driehoekig ding erboven en dan zo'n kubus ervoor en dan zo'n uitsteeksel hier en zo'n rond 
A: 	ja dat zijn bij mij nummer zes 
B: 	en die spijker die erin gaan 
B: 	ja dat zijn E 
A: 	ik hebben nu die met die driehoek erboven zeggen maar en dat raar blok en dat ervoor en dat rond eronder 
B: 	ja dit zijn weer die die kegel die piramide weten ik veel wat spijker aan de zijkant raar groot blok aan de zijkant en een soort 
B: 	koek of zo dat dat er nog bij liggen 
A: 	ja 
A: 	nummer tien 
B: 	ja dat zijn G 
B: 	ja hier hebben je weer die spijker aan die zijkant die piramide bovenop dat soort rond schijf onderin en dan nog dat blok dat erbij zitten 
A: 	ik hebben die een bij mij staan die helemaal of linksbof bedoelen ik 
A: 	met dat driehoekig ding 
A: 	erboven zo'n rond aan kant en zo'n blok ervoor 
A: 	die driehoek 
A: 	ja 
A: 	nummer tien 
