B: 	ik hebben er één met drie van die bollet zo ernaast aan beide kant 
B: 	ja of het erachter zijn 
B: 	ja plateau eronder yes 
B: 	oké 
A: 	en dan staan die op een 
A: 	ja 
A: 	dan zijn het nummer vijf 
B: 	ja 
B: 	ja die gek slinger dat zijn J bij mij 
A: 	dit zijn wel die een op met dat tafel met die krullet langs de zijkant 
B: 	oké ik hebben weer die met dat plateaut met die soort van slinger erachter 
B: 	ja en het schotelt 
B: 	yes 
A: 	ja dat zijn nummer elf 
B: 	yes dat zijn de P bij mij 
A: 	die een op het vlak met die twee spiraal 
B: 	yes oké 
B: 	het zijn weer dat plateaut met die slinger 
B: 	en dan dat schotel 
A: 	ja dat zijn nummer negen 
B: 	die slinger 
B: 	ja ja L 
A: 	de plaat met de spiraal 
