B: 	deze hebben zegmaar een spijker bovenop en een vierkant vlak aan de voorkant 
B: 	met twee blokkentorent link 
A: 	ja 
A: 	ja die 
A: 	ja 
A: 	ja dat zijn twee 
B: 	blokkentorent 
B: 	G 
B: 	hij hebben zegmaar een spijker bovenop links twee blokkentorent en een vierkant scherm 
A: 	dit zijn ja het kop met bovenop de de paddenstoel 
A: 	en het vierkan aan de rechtervoorkant en die twee kubus die klein worden 
B: 	D 
A: 	ja 
A: 	en dat plaa en die 
A: 	ja 
A: 	dat zijn negen 
B: 	twee blokkentorent link spijker bovenaan vierkant schermpje vooraan 
A: 	ja dit zijn die met de paddenstoel 
A: 	en de oog en het vierkant 
B: 	B 
A: 	Paddenstoel 
A: 	ja dat zijn één 
A: 	dit zijn die met de paddenstoel 
