A: 	ja 
A: 	hebben hij ook dat het plateau dinge in het midden zeggen maar 
A: 	ok 
A: 	ja 
A: 	dan zijn het zes 
A: 	ja 
B: 	oké ik noemen dit poppet het met een badpak zeggen maar er lijken dus een soort van zwemband eromheen te zitten een soort vierkant om het poppe heen 
B: 	hij hebben twee staaf op zijn hoofd hij hebben op zijn neus hebben die een lang staaf 
B: 	en hij hebben één armpje zo omhoog 
B: 	precies ja 
B: 	en hij hebben een vierkant eromheen zitten alsof het een soort van zwemband zijn 
A: 	kunnen me niet veel herinneren wat jij hiervan vinden maar ik vinden het beetje een meisje in een rok omdat ze dat plateau zeggen maar in het midden hebben 
A: 	ja 
A: 	bij mij zestien 
A: 	zijn dertien 
A: 	ok 
B: 	ja 
B: 	ja met het met het band eromheen toch ? met dat 
B: 	dan gaan het om C 
A: 	dit zijn de fabriek slash het dansen meisje of nee gewoon het meisje niet per se dansen 
A: 	ja vijftien bij mij 
B: 	dit gaan over de glijbaan met de band eromheen 
B: 	ja 
B: 	zoeken hem even op met de ding eromheen 
B: 	gaan om J 
A: 	ja zijn negen bij mij 
A: 	dit zijn de fabriek meisje 
A: 	ok 
B: 	bij mij gaan het hier om de glijbaan met het band 
B: 	ja worden nummer N tweepoot N 
