B: 	ja en aan de voorkant een vierkant staaf 
B: 	D 
A: 	tiklen 
A: 	ja dit zijn veel zo'n soort ja net korfbal achtig iets soort met en dan zijn eigenlijk een stok omhoog dan zitten er eigenlijk dat ovaal ding tegenaan en dan komen er 
A: 	buitenkant twee er uit en met een bal er bovenop of een rond 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	oké dit zijn diegene met die staaf aan de voorkant weer met dat bollet bovenop 
B: 	we hebben hem al hebben 
B: 	met ja met die dinget aan de zijkant 
A: 	zijn helemaal draaien 
A: 	ja 
A: 	ja en dan nog aan die zijkant ja 
A: 	dat zijn dan nummertje vijftien 
B: 	ja met de vierkant statief 
B: 	de een pullup ik ik zien het wel als een een basketbal laten maar zeggen 
B: 	weten je wel dat je dat bolle als de basketbal in het theekop doen 
B: 	basketbal 
B: 	L 
A: 	ja dat dit zijn nog steeds die wat ik zeggen een korfbal met een bolle er bovenop waar aan de zijkant waar 
A: 	ja en die balk naar beneden ja 
B: 	de basketbal 
B: 	ja ja 
A: 	ja 
A: 	dat zijn dan nummertje zes 
A: 	ja dit zijn die korfbal dus eigenlijk die waar die bal bovenop liggen ja 
B: 	de basketbal 
A: 	ja dat zijn dan nummertje drie 
