B: 	zijn dat die soort van toeter of 
B: 	ja ja dat zijn L 
B: 	het zijn die trompetachtige met dat plateau en het dinge waar dat 
A: 	bij mij zijn dit het kop 
A: 	en aan de rechts kant hebben die een soort van plateau alsof die een dienblad vasthouden 
A: 	en aan de 
A: 	ja en aan de linkerkant hebben die een soort van raar neus waar een soort van popnagel inslaan lijken te worden 
A: 	of een trompet eruit lijken te komen net wat je wat je willen ja 
A: 	ja ja ja ja ja 
B: 	C 
A: 	ja 
A: 	even kijken waar staan die 
A: 	ja met die soort van popnagel die erin slaan worden ja 
A: 	dat zijn bij mij zeven 
A: 	dit zijn die een met dat dienblad en die nagel die erin slaan worden 
B: 	het zijn die toeter met dat plateaut 
B: 	A 
A: 	ja nummer één 
A: 	dit zijn die een met het dienblad en die spijker die in zijn raar neus komen 
B: 	ja 
B: 	het zijn die met die trompet toeterachtig dinget 
A: 	die staan bij mij of die hebben ik dertien 
