B: 	even kijken dit zijn ja deze vinden ik echt heel vaag ik weten echt niet wat voor een omschrijving ik er aan kunnen geven maar rechts zeggen maar zijn een beetje echt zo'n 
A: 	ja zo'n Vgootje zeggen maar 
B: 	ovaal rond en dan erboven zijn een vierkan en daarnaast naast dat vierkantje link zitten een soort van 
A: 	ja precies 
A: 	ja dat zijn veertien 
B: 	bowlingpion vinden ik het alleen dan op de kop en links zijn iets van een driehoekje wat ook nog uitsteken 
B: 	ja 
B: 	hier komen ik echt heel ja hier hier dit doen me nergens echt aan denken maar 
B: 	ja ok ja 
B: 	ja dan zijn het dan denken ik die ja 
B: 	ok bij mij P 
A: 	ja dit zijn die met met dat ei aan de voorkant en dan die V goot zeggen maar aan de linkerzijkant 
A: 	en aan de achterkant weer die rechthoek met met die ander raar vorm ernaast 
B: 	ok top 
B: 	o die waar staan hij o daar dat zijn N bij mij 
B: 	ok 
A: 	ja 
A: 	ja ja ja precies negen 
B: 	dit zijn ja die een met dat met die bowling pilaar op het hoofd 
B: 	ok bij mij G 
B: 	nee 
A: 	ja dit zijn dat ei voor en dat de V dat V Vgootje aan de zijkant en dan 
A: 	dat ei dat V'tje en dat 
A: 	ja die V aan de zijkant zo 
A: 	vijf 
B: 	maken niet uit 
B: 	o die even kijken waar hij staan o hier G 
B: 	even kijken 
B: 	ok 
A: 	ja dit zijn die dat ei aan de voorkant die V aan de zijkant 
A: 	en dan boven die rechthoek en dat 
B: 	o dit zijn dat een met de bowling ding op het hoofd 
B: 	ok bij mij O 
B: 	o daar J 
B: 	ja 
