A: 	oké 
A: 	ja deze doen me een beetje denken aan een soor strandstoel wat er zo links uit steekt en dan nog een groot soort honkbalknuppel daar dwars doorheen 
A: 	oké 
A: 	zonnepaneel ja dat zijn ook wel een mooi inderdaad 
B: 	o ja 
B: 	o ja dan weten ik wel wat het zijn tenminste een beetje zo'n van honkbal een beetje achtig maar dan iets ja een beetje met fantasie ja 
B: 	ja 
B: 	ok 
B: 	ja dat zijn bij mij K 
B: 	ok 
A: 	ja 
A: 	oké nummer negen zijn dat bij mij 
B: 	dit zijn die die wat mij een beetje doen denken aan een honkbal met fantasie en dus die twee rond met daar omheen weer een rond 
B: 	en dat dinge er achter 
B: 	ja 
B: 	ja ja 
B: 	ja 
B: 	bij mij B 
A: 	oké 
A: 	nou dit zijn weer de honkbalknuppel met het zonnecelle strandstoel 
A: 	hoe je het noemen willen 
A: 	zijn even zoeken soms 
B: 	even kijken waar die staan o hier ja F bij mij 
B: 	ok 
B: 	o dan moeten ik klikken 
A: 	die zijn lastig 
A: 	honkbalknuppel waar zijn die ? waar zijn die 
A: 	daar 
A: 	nummer drie 
A: 	de honkbalknuppel en de zonnecellet strandstoel 
B: 	dit zijn een beetje die honkbal met dat dinge en die vierkant er achter een beetje ja 
B: 	ok K 
A: 	oké 
A: 	honkbalknuppel 
A: 	ja nummer vijf 
B: 	even kijken waar die zijn o hier L 
B: 	dit zijn de honkbal ding 
B: 	ja inderdaad dat zijn weer even helemaal opnieuw oriënteren 
B: 	ok 
