B: 	ja 
B: 	ja en nog één flap aan de achterkant 
B: 	ja ja 
B: 	oké dan F 
A: 	ok deze hebben een soort sprie aan de achtekrant die naar achter wijzen 
A: 	met zo'n bolle voorop met een staaf door dat bolle heen en een plat rond aan de rechterkant van die staaf 
A: 	ik vinden dat 
A: 	ja precies dat vinden ik ook een neus met zo'n dingetje er doorheen met een zo'n soort weetjewel zo'n ding wat je in een ijsthee dinget hebben waar je die citroen mee kunnen stampen 
A: 	het lijken 
A: 	ja alsof dat 
A: 	ja precies alsof dat er doorheen zitten en aan de achterkant zo'n druppel die naar achter wijzen alsof hij zo'n kuifje hebben wat naar achter wijzen 
A: 	ok 
B: 	de neuspiercing 
B: 	met met het rond aan de ander kant 
B: 	ja A 
A: 	ja 
A: 	ja dat zijn vijf 
B: 	moeten even wat links en rechts zijn de neuspiercing 
B: 	ja searching H 
A: 	dit zijn die met die umstaaf door zijn neus 
A: 	dat sprie naar achter en die 
A: 	ja ja 
B: 	de neuspiercing 
A: 	ja 
A: 	ja dat zijn nummer vijf 
A: 	ja dit zijn die met die neus met zo'n ding er doorheen en die kuif achterop 
A: 	ja dat zijn nummer vijftien 
