B: 	deze hebben een soort van tafel aan de bovenkant met twee 
B: 	ja 
B: 	b 
A: 	wachten dan zitten ik verkeerd 
A: 	ja 
A: 	poo 
A: 	maar het plateau zitten dat snijden de 
A: 	en er staan twee stekelt zeggen maar bovenop 
A: 	nee 
A: 	ah 
A: 	hebben hij wat zitten er aan de zitten er ook iets achter aan de achterkant 
A: 	een haak en op het plateau staan iets 
A: 	ja okee gelukkig 
A: 	vijfteen 
A: 	die ander hebben ik al hebben 
B: 	het tafel met twee poet 
B: 	waar staan die 
B: 	J 
A: 	deze hebben zoals jij zeggen als je ontbijt op bed krijgen een dienblad met iets erop 
A: 	krulle aan de achterkant 
B: 	deze zijn met dat tafel 
B: 	n 
A: 	dat zijn vijf 
A: 	deze hebben ontbijt op bed 
A: 	achten 
A: 	ontbijt op bed 
