A: 	oké ik hebben een ja wat zijn het 
A: 	ja hoe ik dit hebben omschrijven zijn heel erg 
A: 	zo ja ik denken iets van een poppe en die hebben dan zo'n hand aan de zijkant en daar zitten zo'n steel doorheen met een rond 
A: 	alsof die zoiets vast hebben 
A: 	en op zijn hoofd zeggen maar zitten nog één zo'n sprie 
A: 	ja op zo'n soort ontstopper of zo weten je wel 
A: 	ja een stamper ja 
B: 	die 
B: 	ja 
B: 	ja 
B: 	en hij hebben ook nog een een soort lepeltje in het ja oké 
B: 	dan zijn het F 
A: 	ja ja 
A: 	even kijken waar zijn die 
A: 	ik weten welk je bedoelen maar ik zien hem even niet 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn die appel 
A: 	met dat dinge vast zeggen maar die jij op een appel vinden lijken 
A: 	ja 
B: 	dit zijn er één met een neus en dan zo'n spijker erdoorheen en een tuu 
A: 	ja 
A: 	nummer vijf 
A: 	dat zijn dat appel en dat ding wat door zijn neus gaan 
B: 	ja 
B: 	dinge op de 
B: 	dat zijn A 
A: 	ja 
A: 	nummer vijftien 
B: 	dit zijn weer die een met die spijker door de neus 
B: 	ja 
B: 	moeten ik het even goed zeggen dat zijn h 
B: 	dit zijn met dat spijker door de neus 
