A: 	ja je hebben er twee inderdaad die een zitten erdoorheen en die ander dan niet 
A: 	of 
A: 	nee maar die ander met 
A: 	ja een speer en een balkje zeggen maar 
A: 	ja 
A: 	veertien 
B: 	hebben een bolle aan de voor ja rechtsvoorkanten 
B: 	en aan de bovenkant zitten een recht rechthoekig staaf maar daarnaast een veel ronder vorm 
B: 	lang dinge 
B: 	ja en dan aan de zijkant van het kop zitten nog een driehoekig staafje 
A: 	dit zijn ja dat man met met met een neusje en dan hebben die dus een zo'n soort van speerachtig iets als een pilaar bovenuit lijken ook een beetje op een 
A: 	ja ja lijken ook een beetje op een pennenbak 
A: 	ja ja ja even kijken waar ja 
A: 	dat zijn negen 
B: 	ja 
B: 	dat zijn N 
A: 	dit zijn degeen met de neus zonder de piercing 
A: 	neus zonder piercing vijf 
A: 	dit zijn met de neus en zonder de piercing 
B: 	dit zijn die met het bollet aan de rechtervoorkant en twee ding aan de bovenkant één zijn 
B: 	rechthoekig en de ander zijn kegelvorm en links nog een driehoekig staafje 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn die met het bollet aan de rechtervoorkant en dan twee dinget bovenop één zijn kegel en de ander zijn rechthoekig en dan links nog een nee driehoekig dinge 
B: 	ja 
B: 	dat zijn J 
