A: 	ik weten welk dat zijn 
A: 	dat zijn zestien 
B: 	ik vinden dit een beetje op twee tafelpoot lijken 
B: 	en daarbovenop liggen een soort omgekeerd piramide zonder top 
B: 	en dan steken er nog een dinge omhoog aan de achterkant 
B: 	ja 
A: 	deze hebben het soort een tafel 
A: 	met het dinge erop 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	ja de tafel dat zijn bij mij veertien 
B: 	deze zijn met een tafel 
A: 	die met die tafel 
A: 	die met de tafel 
A: 	waar ? waar ? ja 
A: 	dat zijn nummer tien 
B: 	oké 
B: 	dat zijn bij mij N 
A: 	die met de tafel 
B: 	dit zijn met een tafel 
B: 	ja 
B: 	dat zijn bij mij D 
